iteration,bestSwarmValue
0,390
1,427
2,438
3,454
4,455
5,456
6,454
7,493
8,500
9,500
10,499
11,510
12,512
13,513
14,513
15,513
16,513
17,529
18,532
19,575
20,578
21,575
22,575
23,575
24,574
25,576
26,662
27,665
28,669
29,748
30,828
31,828
32,787
33,817
34,816
35,820
36,820
37,820
38,841
39,841
40,841
41,848
42,865
43,865
44,804
45,802
46,811
47,811
48,811
49,855
50,858
51,976
52,976
53,1001
54,990
55,990
56,994
57,994
58,997
59,997
60,1007
61,1007
62,1007
63,1067
64,1089
65,1089
66,1089
67,1062
68,1064
69,1061
70,1045
71,1045
72,1048
73,1141
74,1141
75,1244
76,1240
77,1252
78,1286
79,1281
80,1283
81,1283
82,1269
83,1246
84,1248
85,1258
86,1308
87,1323
88,1318
89,1318
90,1319
91,1319
92,1322
93,1331
94,1393
95,1393
96,1388
97,1388
98,1400
99,1400
100,1400
101,1400
102,1409
103,1410
104,1411
105,1481
106,1479
107,1519
108,1505
109,1505
110,1522
111,1535
112,1526
113,1528
114,1529
115,1537
116,1537
117,1577
118,1591
119,1586
120,1563
121,1559
122,1651
123,1655
124,1662
125,1666
126,1652
127,1651
128,1688
129,1696
130,1696
131,1697
132,1768
133,1758
134,1803
135,1816
136,1821
137,1821
138,1885
139,1956
140,1956
141,1967
142,1962
143,1975
144,2042
145,2042
146,2041
147,2008
148,2066
149,2072
150,2075
151,2088
152,2086
153,2085
154,2097
155,2111
156,2144
157,2166
158,2180
159,2180
160,2210
161,2217
162,2217
163,2215
164,2217
165,2217
166,2217
167,2210
168,2210
169,2235
170,2225
171,2226
172,2249
173,2251
174,2293
175,2295
176,2314
177,2259
178,2303
179,2302
180,2300
181,2252
182,2265
183,2339
184,2355
185,2335
186,2376
187,2373
188,2458
189,2457
190,2457
191,2456
192,2533
193,2588
194,2588
195,2584
196,2580
197,2603
198,2589
199,2590
200,2620
201,2618
202,2617
203,2617
204,2612
205,2612
206,2611
207,2604
208,2603
209,2603
210,2604
211,2580
212,2576
213,2570
214,2564
215,2554
216,2648
217,2636
218,2595
219,2609
220,2666
221,2690
222,2688
223,2683
224,2689
225,2749
226,2749
227,2747
228,2731
229,2724
230,2727
231,2743
232,2751
233,2751
234,2750
235,2750
236,2773
237,2774
238,2777
239,2777
240,2767
241,2767
242,2767
243,2774
244,2779
245,2779
246,2776
247,2786
248,2911
249,2968
250,2971
251,2971
252,2984
253,2978
254,2975
255,2973
256,3009
257,3009
258,3015
259,3013
260,3016
261,2975
262,2978
263,3031
264,3023
265,3021
266,3073
267,3083
268,3106
269,3106
270,3172
271,3162
272,3112
273,3080
274,3082
275,3067
276,3052
277,3067
278,3061
279,3061
280,3075
281,2994
282,3063
283,3058
284,3058
285,3058
286,3067
287,3076
288,3077
289,3015
290,2960
291,3043
292,3104
293,3136
294,3136
295,3089
296,3089
297,3109
298,3132
299,3057
300,3105
301,3080
302,3030
303,3011
304,3017
305,3017
306,2959
307,2948
308,2932
309,2931
310,2910
311,2910
312,2912
313,2911
314,2931
315,2931
316,2933
317,3020
318,2997
319,3000
320,2998
321,3003
322,2988
323,3011
324,3005
325,2993
326,2906
327,2906
328,2906
329,2933
330,2933
331,2985
332,3051
333,3052
334,3130
335,3125
336,3178
337,3206
338,3204
339,3163
340,3156
341,3158
342,3160
343,3158
344,3158
345,3149
346,3184
347,3187
348,3227
349,3230
350,3232
351,3191
352,3191
353,3194
354,3194
355,3194
356,3194
357,3167
358,3159
359,3136
360,3131
361,3131
362,3131
363,3131
364,3213
365,3217
366,3239
367,3286
368,3300
369,3303
370,3303
371,3303
372,3326
373,3330
374,3340
375,3345
376,3345
377,3345
378,3343
379,3339
380,3339
381,3339
382,3262
383,3349
384,3349
385,3349
386,3350
387,3335
388,3335
389,3336
390,3325
391,3322
392,3322
393,3322
394,3322
395,3232
396,3231
397,3190
398,3190
399,3198
400,3277
401,3277
402,3277
403,3253
404,3241
405,3211
406,3211
407,3211
408,3212
409,3211
410,3156
411,3165
412,3165
413,3167
414,3169
415,3169
416,3167
417,3170
418,3170
419,3147
420,3175
421,3175
422,3178
423,3178
424,3173
425,3173
426,3176
427,3256
428,3260
429,3254
430,3186
431,3204
432,3203
433,3203
434,3197
435,3200
436,3200
437,3200
438,3201
439,3192
440,3194
441,3258
442,3285
443,3230
444,3232
445,3298
446,3298
447,3287
448,3287
449,3285
450,3272
451,3272
452,3272
453,3271
454,3272
455,3244
456,3244
457,3246
458,3246
459,3254
460,3260
461,3252
462,3252
463,3208
464,3289
465,3269
466,3269
467,3268
468,3269
469,3275
470,3279
471,3266
472,3276
473,3315
474,3315
475,3271
476,3202
477,3203
478,3313
479,3313
480,3245
481,3169
482,3154
483,3152
484,3152
485,3149
486,3156
487,3148
488,3141
489,3142
490,3164
491,3115
492,3121
493,3117
494,3117
495,3223
496,3184
497,3195
498,3195
499,3195
500,3254
501,3256
502,3267
503,3247
504,3189
505,3191
506,3130
507,3130
508,3130
509,3129
510,3134
511,3140
512,3150
513,3150
514,3161
515,3227
516,3244
517,3258
518,3244
519,3245
520,3245
521,3250
522,3306
523,3302
524,3292
525,3253
526,3253
527,3320
528,3272
529,3273
530,3273
531,3273
532,3271
533,3271
534,3265
535,3267
536,3233
537,3236
538,3235
539,3233
540,3261
541,3244
542,3242
543,3177
544,3254
545,3254
546,3284
547,3284
548,3325
549,3343
550,3344
551,3346
552,3355
553,3323
554,3321
555,3333
556,3333
557,3329
558,3323
559,3386
560,3388
561,3389
562,3381
563,3357
564,3361
565,3376
566,3376
567,3309
568,3309
569,3342
570,3342
571,3342
572,3400
573,3399
574,3429
575,3396
576,3368
577,3386
578,3393
579,3393
580,3419
581,3391
582,3455
583,3454
584,3470
585,3490
586,3489
587,3489
588,3493
589,3457
590,3482
591,3500
592,3502
593,3508
594,3520
595,3521
596,3521
597,3447
598,3451
599,3461
600,3461
601,3512
602,3471
603,3458
604,3477
605,3343
606,3337
607,3403
608,3465
609,3507
610,3509
611,3523
612,3534
613,3551
614,3554
615,3557
616,3561
617,3589
618,3597
619,3610
620,3692
621,3698
622,3699
623,3699
624,3699
625,3742
626,3803
627,3810
628,3790
629,3791
630,3668
631,3668
632,3678
633,3688
634,3769
635,3784
636,3719
637,3719
638,3649
639,3639
640,3549
641,3549
642,3455
643,3447
644,3463
645,3379
646,3389
647,3381
648,3382
649,3382
650,3393
651,3412
652,3472
653,3415
654,3424
655,3419
656,3419
657,3418
658,3432
659,3329
660,3342
661,3352
662,3353
663,3393
664,3393
665,3387
666,3378
667,3325
668,3325
669,3327
670,3280
671,3282
672,3414
673,3416
674,3475
675,3515
676,3518
677,3524
678,3520
679,3521
680,3480
681,3474
682,3465
683,3543
684,3543
685,3543
686,3564
687,3566
688,3555
689,3554
690,3573
691,3565
692,3566
693,3573
694,3571
695,3506
696,3579
697,3564
698,3564
699,3478
700,3479
701,3477
702,3453
703,3453
704,3460
705,3460
706,3539
707,3666
708,3675
709,3611
710,3612
711,3607
712,3649
713,3649
714,3646
715,3644
716,3646
717,3646
718,3754
719,3754
720,3754
721,3753
722,3757
723,3757
724,3758
725,3796
726,3849
727,3844
728,3844
729,3906
730,3899
731,3905
732,3906
733,3919
734,3826
735,3820
736,3825
737,3843
738,3831
739,3777
740,3776
741,3773
742,3829
743,3872
744,3790
745,3889
746,3891
747,3890
748,3884
749,3876
750,3960
751,3960
752,3960
753,3965
754,3967
755,3916
756,3913
757,3928
758,3928
759,3947
760,3941
761,3939
762,3931
763,3873
764,3860
765,3800
766,3795
767,3804
768,3803
769,3834
770,3833
771,3832
772,3884
773,3884
774,3892
775,3895
776,3858
777,3865
778,3869
779,3879
780,3874
781,3878
782,3872
783,3871
784,3860
785,3860
786,3860
787,3860
788,3860
789,4052
790,4038
791,4038
792,3992
793,3992
794,3997
795,4004
796,3968
797,3973
798,3963
799,3936
800,3944
801,3900
802,3899
803,3900
804,3899
805,3897
806,3899
807,3937
808,3935
809,3930
810,3986
811,3986
812,3986
813,3991
814,3924
815,3924
816,3930
817,3932
818,3925
819,3919
820,3919
821,3914
822,3914
823,3809
824,3850
825,3844
826,3838
827,3875
828,3971
829,4001
830,4057
831,4091
832,4007
833,3988
834,3988
835,3986
836,3986
837,3990
838,3941
839,3940
840,3939
841,3974
842,3971
843,3965
844,3965
845,3962
846,3848
847,3851
848,3853
849,3853
850,3865
851,3869
852,3872
853,3874
854,3874
855,3870
856,3882
857,3889
858,3815
859,3842
860,3842
861,3859
862,3855
863,3837
864,3928
865,3977
866,3977
867,3922
868,3945
869,3928
870,3926
871,3923
872,3918
873,3927
874,3927
875,3926
876,3927
877,3896
878,3895
879,3976
880,3977
881,3962
882,3947
883,3938
884,3934
885,3934
886,3933
887,3933
888,3933
889,3939
890,3841
891,3841
892,3827
893,3911
894,3910
895,3910
896,3913
897,3978
898,3981
899,3933
900,3933
901,3936
902,3936
903,3920
904,3840
905,3831
906,3831
907,3832
908,3832
909,3832
910,3839
911,3868
912,3874
913,3868
914,3888
915,3873
916,3871
917,3962
918,3962
919,3962
920,3927
921,3925
922,3926
923,3859
924,3830
925,3828
926,3828
927,3857
928,3757
929,3752
930,3752
931,3752
932,3693
933,3701
934,3790
935,3789
936,3789
937,3794
938,3753
939,3763
940,3696
941,3653
942,3658
943,3658
944,3658
945,3652
946,3575
947,3536
948,3560
949,3562
950,3562
951,3566
952,3566
953,3643
954,3644
955,3647
956,3672
957,3667
958,3665
959,3663
960,3626
961,3631
962,3631
963,3631
964,3631
965,3631
966,3631
967,3636
968,3656
969,3658
970,3658
971,3662
972,3663
973,3646
974,3646
975,3646
976,3636
977,3643
978,3643
979,3644
980,3644
981,3644
982,3555
983,3546
984,3545
985,3555
986,3562
987,3561
988,3561
989,3599
990,3595
991,3676
992,3643
993,3643
994,3643
995,3653
996,3677
997,3676
998,3697
999,3698
1000,3669
1001,3674
1002,3654
1003,3657
1004,3613
1005,3613
1006,3614
1007,3615
1008,3615
1009,3616
1010,3569
1011,3569
1012,3569
1013,3569
1014,3606
1015,3598
1016,3601
1017,3614
1018,3610
1019,3610
1020,3610
1021,3633
1022,3641
1023,3650
1024,3641
1025,3693
1026,3693
1027,3685
1028,3686
1029,3685
1030,3668
1031,3668
1032,3668
1033,3659
1034,3659
1035,3659
1036,3640
1037,3638
1038,3724
1039,3701
1040,3701
1041,3701
1042,3715
1043,3661
1044,3656
1045,3656
1046,3655
1047,3655
1048,3655
1049,3641
1050,3733
1051,3731
1052,3731
1053,3674
1054,3681
1055,3669
1056,3665
1057,3665
1058,3664
1059,3664
1060,3689
1061,3699
1062,3689
1063,3649
1064,3698
1065,3692
1066,3692
1067,3692
1068,3691
1069,3691
1070,3693
1071,3605
1072,3604
1073,3608
1074,3605
1075,3655
1076,3665
1077,3683
1078,3675
1079,3619
1080,3588
1081,3588
1082,3588
1083,3519
1084,3519
1085,3519
1086,3519
1087,3513
1088,3519
1089,3523
1090,3523
1091,3589
1092,3594
1093,3589
1094,3691
1095,3687
1096,3650
1097,3734
1098,3734
1099,3716
1100,3716
1101,3753
1102,3745
1103,3753
1104,3739
1105,3811
1106,3806
1107,3806
1108,3821
1109,3821
1110,3820
1111,3939
1112,3939
1113,3920
1114,3906
1115,3820
1116,3825
1117,3827
1118,3831
1119,3805
1120,3743
1121,3742
1122,3773
1123,3786
1124,3786
1125,3727
1126,3729
1127,3732
1128,3730
1129,3825
1130,3825
1131,3827
1132,3837
1133,3849
1134,3849
1135,3849
1136,3848
1137,3852
1138,3850
1139,3791
1140,3800
1141,3800
1142,3761
1143,3702
1144,3704
1145,3665
1146,3563
1147,3564
1148,3553
1149,3552
1150,3552
1151,3552
1152,3547
1153,3547
1154,3571
1155,3575
1156,3573
1157,3573
1158,3465
1159,3465
1160,3465
1161,3405
1162,3402
1163,3402
1164,3402
1165,3402
1166,3402
1167,3402
1168,3395
1169,3394
1170,3394
1171,3384
1172,3384
1173,3441
1174,3420
1175,3501
1176,3494
1177,3496
1178,3505
1179,3496
1180,3502
1181,3502
1182,3527
1183,3525
1184,3566
1185,3566
1186,3564
1187,3632
1188,3632
1189,3635
1190,3605
1191,3593
1192,3593
1193,3664
1194,3664
1195,3602
1196,3602
1197,3604
1198,3565
1199,3609
1200,3621
1201,3621
1202,3619
1203,3660
1204,3658
1205,3677
1206,3679
1207,3670
1208,3665
1209,3728
1210,3740
1211,3739
1212,3736
1213,3747
1214,3747
1215,3748
1216,3693
1217,3681
1218,3680
1219,3669
1220,3730
1221,3678
1222,3678
1223,3688
1224,3692
1225,3622
1226,3630
1227,3617
1228,3620
1229,3617
1230,3630
1231,3630
1232,3644
1233,3644
1234,3645
1235,3656
1236,3651
1237,3646
1238,3648
1239,3648
1240,3650
1241,3708
1242,3710
1243,3710
1244,3710
1245,3710
1246,3645
1247,3664
1248,3662
1249,3662
1250,3662
1251,3661
1252,3655
1253,3655
1254,3655
1255,3655
1256,3679
1257,3673
1258,3661
1259,3661
1260,3635
1261,3635
1262,3635
1263,3713
1264,3725
1265,3724
1266,3718
1267,3718
1268,3715
1269,3656
1270,3656
1271,3656
1272,3683
1273,3607
1274,3626
1275,3658
1276,3658
1277,3660
1278,3660
1279,3610
1280,3680
1281,3688
1282,3744
1283,3753
1284,3777
1285,3835
1286,3833
1287,3843
1288,3871
1289,3871
1290,3861
1291,3885
1292,3877
1293,3879
1294,3879
1295,3888
1296,3858
1297,3864
1298,3889
1299,3932
1300,3975
1301,4050
1302,4053
1303,4045
1304,4007
1305,4007
1306,3987
1307,3993
1308,3995
1309,3993
1310,3924
1311,3922
1312,3905
1313,3906
1314,3906
1315,3898
1316,3902
1317,3903
1318,3904
1319,3904
1320,3910
1321,3911
1322,3907
1323,3906
1324,3906
1325,3848
1326,3893
1327,3829
1328,3831
1329,3831
1330,3832
1331,3832
1332,3883
1333,3908
1334,3908
1335,3928
1336,3857
1337,3859
1338,3908
1339,3933
1340,3924
1341,3921
1342,3903
1343,3797
1344,3804
1345,3878
1346,3785
1347,3735
1348,3735
1349,3736
1350,3770
1351,3737
1352,3737
1353,3737
1354,3739
1355,3772
1356,3775
1357,3720
1358,3721
1359,3721
1360,3721
1361,3726
1362,3726
1363,3726
1364,3728
1365,3737
1366,3738
1367,3744
1368,3740
1369,3817
1370,3754
1371,3754
1372,3752
1373,3788
1374,3774
1375,3672
1376,3672
1377,3642
1378,3738
1379,3740
1380,3740
1381,3763
1382,3758
1383,3718
1384,3775
1385,3776
1386,3766
1387,3787
1388,3684
1389,3683
1390,3722
1391,3647
1392,3674
1393,3669
1394,3704
1395,3704
1396,3783
1397,3774
1398,3776
1399,3776
1400,3780
1401,3771
1402,3766
1403,3827
1404,3825
1405,3836
