iteration,bestSwarmValue
0,868
1,869
2,871
3,874
4,877
5,881
6,882
7,884
8,887
9,887
10,942
11,945
12,1044
13,1103
14,1104
15,1105
16,1110
17,1110
18,1113
19,1198
20,1198
21,1204
22,1208
23,1262
24,1356
25,1387
26,1387
27,1387
28,1387
29,1387
30,1387
31,1438
32,1439
33,1519
34,1519
35,1571
36,1572
37,1612
38,1612
39,1642
40,1642
41,1658
42,1663
43,1664
44,1664
45,1725
46,1726
47,1725
48,1725
49,1735
50,1739
51,1739
52,1741
53,1739
54,1744
55,1744
56,1744
57,1744
58,1744
59,1744
60,1745
61,1745
62,1807
63,1807
64,1815
65,1815
66,1767
67,1837
68,1827
69,1827
70,1838
71,1838
72,1842
73,1846
74,1845
75,1853
76,1891
77,1891
78,1902
79,1902
80,1902
81,1989
82,1989
83,1999
84,1999
85,2000
86,2016
87,2018
88,2016
89,2035
90,2034
91,2035
92,2126
93,2171
94,2171
95,2171
96,2172
97,2211
98,2211
99,2211
100,2213
101,2126
102,2235
103,2237
104,2258
105,2258
106,2341
107,2341
108,2346
109,2346
110,2448
111,2445
112,2445
113,2445
114,2440
115,2440
116,2447
117,2454
118,2454
119,2456
120,2499
121,2526
122,2514
123,2534
124,2534
125,2618
126,2639
127,2659
128,2693
129,2693
130,2693
131,2693
132,2692
133,2692
134,2736
135,2736
136,2729
137,2735
138,2727
139,2730
140,2709
141,2710
142,2627
143,2573
144,2570
145,2620
146,2721
147,2730
148,2753
149,2749
150,2720
151,2719
152,2785
153,2794
154,2795
155,2817
156,2817
157,2817
158,2821
159,2828
160,2830
161,2933
162,2913
163,2922
164,2931
165,2931
166,2942
167,2942
168,2945
169,2945
170,2945
171,2945
172,2946
173,2951
174,2949
175,2953
176,2920
177,2920
178,2920
179,2913
180,2913
181,2918
182,2948
183,2940
184,2946
185,2941
186,3062
187,3077
188,2968
189,2969
190,2969
191,2967
192,2967
193,2968
194,2972
195,2964
196,2973
197,2978
198,3018
199,3018
200,3022
201,3022
202,3040
203,3018
204,3009
205,3007
206,3022
207,3036
208,3114
209,3127
210,3159
211,3159
212,3133
213,3126
214,3092
215,3096
216,3099
217,3111
218,3111
219,3111
220,3111
221,3106
222,3126
223,3126
224,3126
225,3184
226,3180
227,3180
228,3199
229,3177
230,3251
231,3244
232,3235
233,3242
234,3242
235,3241
236,3249
237,3249
238,3249
239,3252
240,3252
241,3292
242,3298
243,3281
244,3279
245,3277
246,3354
247,3377
248,3350
249,3350
250,3362
